epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,583.662,1.4784,1.54303,1.8136,0.73945,0.61106,0.68299,0.37545,1.64877,1.31644,1.93959,0.0005941,0.0005941,0.0005941
43,599.191,1.4873,1.59131,1.82867,0.65264,0.6907,0.71741,0.4076,1.49874,1.27344,1.83165,0.0005842,0.0005842,0.0005842
44,611.645,1.49187,1.56715,1.83507,0.7358,0.69742,0.70278,0.38834,1.4555,1.37466,1.79904,0.0005743,0.0005743,0.0005743
45,623.835,1.475,1.5505,1.81515,0.77181,0.58618,0.68029,0.38829,1.56785,1.2923,1.90234,0.0005644,0.0005644,0.0005644
46,639.311,1.48235,1.56205,1.83072,0.68154,0.76825,0.78698,0.46407,1.48325,1.26551,1.77828,0.0005545,0.0005545,0.0005545
47,651.784,1.46693,1.53184,1.81388,0.77622,0.56539,0.65373,0.37422,1.49598,1.26138,1.81334,0.0005446,0.0005446,0.0005446
48,664.187,1.47332,1.52005,1.80982,0.63155,0.77177,0.78675,0.44218,1.4615,1.24968,1.76506,0.0005347,0.0005347,0.0005347
49,679.6,1.45684,1.50796,1.78876,0.74552,0.71877,0.76683,0.43774,1.54783,1.21438,1.84716,0.0005248,0.0005248,0.0005248
50,692.073,1.46062,1.52133,1.79996,0.63938,0.86415,0.80431,0.47247,1.41993,1.20696,1.74856,0.0005149,0.0005149,0.0005149
51,704.694,1.45299,1.50888,1.80004,0.61239,0.7988,0.77236,0.451,1.48583,1.22811,1.83807,0.000505,0.000505,0.000505
52,719.518,1.43852,1.52185,1.77713,0.6955,0.73228,0.73757,0.41192,1.57146,1.26639,1.89542,0.0004951,0.0004951,0.0004951
53,730.097,1.42984,1.50188,1.77191,0.79566,0.66276,0.76648,0.44703,1.43773,1.18891,1.73613,0.0004852,0.0004852,0.0004852
54,742.421,1.4464,1.50589,1.78387,0.6073,0.74147,0.72811,0.4191,1.43682,1.20902,1.77396,0.0004753,0.0004753,0.0004753
55,757.679,1.44707,1.48924,1.77972,0.56065,0.7335,0.72482,0.34295,1.72056,1.48579,1.97574,0.0004654,0.0004654,0.0004654
56,770,1.42772,1.47483,1.77592,0.57339,0.76115,0.69712,0.41367,1.4479,1.24244,1.77982,0.0004555,0.0004555,0.0004555
